球员,球队,得分,篮板,助攻,总效率
勒布朗·詹姆斯,湖人,25.7,7.3,8.3,41.3
尼古拉·约基奇,掘金,28.5,12.4,9.0,49.9
卢卡·东契奇,独行侠,33.9,9.2,9.8,52.9
扬尼斯·阿德托昆博,雄鹿,30.4,11.5,6.5,48.4
乔尔·恩比德,76人,34.7,11.0,5.6,51.3
凯文·杜兰特,太阳,26.6,6.6,5.0,38.2
斯蒂芬·库里,勇士,26.4,5.1,5.3,36.8
泰瑞斯·哈利伯顿,步行者,20.1,3.9,10.9,34.9
亚历山大,雷霆,30.1,6.5,6.2,42.8
塔图姆,凯尔特人,27.1,8.1,4.9,40.1
达米安·利拉德,雄鹿,24.3,3.3,7.0,34.6
吉米·巴特勒,勇士,17.7,6.3,5.0,29.0
德文·布克,太阳,27.5,4.5,6.9,38.9
布拉德利·比尔,太阳,18.4,4.0,4.8,27.2
特雷·杨,老鹰,25.7,2.8,10.8,39.3
保罗·乔治,76人,22.6,5.2,3.5,31.3
科怀·伦纳德,快船,23.7,6.1,3.6,33.4
詹姆斯·哈登,快船,16.6,4.5,8.3,29.4
拉塞尔·威斯布鲁克,掘金,12.6,6.8,7.4,26.8
克里斯·保罗,勇士,14.0,3.7,6.6,24.3
安东尼·戴维斯,湖人,24.7,12.6,3.5,40.8
卡尔·安东尼·唐斯,尼克斯,21.8,8.5,5.8,36.1
鲁迪·戈贝尔,森林狼,13.4,11.6,1.9,26.9
尼古拉·武切维奇,公牛,17.7,11.0,2.8,31.5
多曼塔斯·萨博尼斯,国王,19.4,13.7,8.2,41.3
博扬·博格达诺维奇,活塞,14.0,3.4,2.3,19.7
德马尔·德罗赞,国王,24.9,6.0,5.3,36.2
扎克·拉文,马刺,19.5,4.2,4.2,27.9
弗雷德·范弗里特,火箭,17.2,4.0,6.7,27.9
贾马尔·穆雷,掘金,21.5,4.2,4.8,30.5
小迈克尔·波特,掘金,17.0,7.0,1.5,25.5
布鲁斯·布朗,步行者,12.1,3.8,4.2,20.1
巴姆·阿德巴约,热火,19.3,9.3,5.2,33.8
泰勒·希罗,热火,17.6,4.9,3.5,26.0
德安吉洛·拉塞尔,湖人,14.3,2.9,6.0,23.2
奥斯汀·里夫斯,湖人,13.3,4.0,3.0,20.3
安德鲁·维金斯,勇士,13.6,4.7,1.5,19.8
克莱·汤普森,独行侠,15.8,3.9,1.8,21.5
追梦·格林,勇士,7.8,7.2,5.5,20.5
哈里森·巴恩斯,国王,12.5,5.0,2.1,19.6
多诺万·米切尔,骑士,23.6,5.1,6.1,34.8
达里厄斯·加兰,骑士,21.0,3.5,7.8,32.3
埃文·莫布里,骑士,15.8,8.8,2.3,26.9
阿隆·戈登,掘金,14.2,7.2,3.1,24.5
肯塔维奥斯·考德威尔·波普,掘金,11.5,2.8,1.5,15.8
迈克·康利,森林狼,8.0,3.1,4.4,15.5
安东尼·爱德华兹,森林狼,25.9,5.4,5.1,36.4
布兰登·英格拉姆,鹈鹕,21.4,5.7,5.0,32.1
锡安·威廉姆森,鹈鹕,22.3,8.1,4.1,34.5
CJ·麦科勒姆,鹈鹕,20.4,4.2,4.1,28.7
